"","ensembl_id","go_ids"
"1","ENSG00000000003","GO:0005515"
"2","ENSG00000000005","GO:0001886"
"3","ENSG00000000419","GO:0004169"
"4","ENSG00000000457","GO:0000139"
"5","ENSG00000000460","GO:0005515"
"6","ENSG00000000938","GO:0001784"
"7","ENSG00000000971","GO:0001851"
"8","ENSG00000001036","GO:0004560"
"9","ENSG00000001084","GO:0000287"
"10","ENSG00000001167","GO:0000785"
"11","ENSG00000001460","GO:0003674"
"12","ENSG00000001461","GO:0005515"
"13","ENSG00000001497","GO:0000460"
"14","ENSG00000001561","GO:0005515"
"15","ENSG00000001617","GO:0001755"
"16","ENSG00000001626","GO:0005254"
"17","ENSG00000001629","GO:0000151"
"18","ENSG00000001630","GO:0004497"
"19","ENSG00000001631","GO:0001525"
"20","ENSG00000002016","GO:0000724"
"21","ENSG00000002079","GO:0005813"
"22","ENSG00000002330","GO:0001836"
"23","ENSG00000002549","GO:0004177"
"24","ENSG00000002586","GO:0005515"
"25","ENSG00000002587","GO:0005796"
"26","ENSG00000002726","GO:0005507"
"27","ENSG00000002745","GO:0003408"
"28","ENSG00000002746","GO:0000209"
"29","ENSG00000002822","GO:0000776"
"30","ENSG00000002834","GO:0005515"
"31","ENSG00000002919","GO:0005515"
"32","ENSG00000002933","GO:0005515"
"33","ENSG00000003056","GO:0004888"
"34","ENSG00000003096","GO:0004842"
"35","ENSG00000003137","GO:0001709"
"36","ENSG00000003147","GO:0000139"
"37","ENSG00000003249","GO:0005737"
"38","ENSG00000003393","GO:0001662"
"39","ENSG00000003400","GO:0004197"
"40","ENSG00000003402","GO:0002020"
"41","ENSG00000003436","GO:0004866"
"42","ENSG00000003509","GO:0005515"
"43","ENSG00000003756","GO:0000245"
"44","ENSG00000003987","GO:0004438"
"45","ENSG00000003989","GO:0000064"
"46","ENSG00000004059","GO:0003924"
"47","ENSG00000004139","GO:0003953"
"48","ENSG00000004142","GO:0003677"
"49","ENSG00000004399","GO:0001525"
"50","ENSG00000004455","GO:0004017"
"51","ENSG00000004468","GO:0001666"
"52","ENSG00000004478","GO:0000413"
"53","ENSG00000004487","GO:0000122"
"54","ENSG00000004534","GO:0000398"
"55","ENSG00000004660","GO:0004674"
"56","ENSG00000004700","GO:0000724"
"57","ENSG00000004766","GO:0000149"
"58","ENSG00000004776","GO:0005212"
"59","ENSG00000004777","GO:0005096"
"60","ENSG00000004779","GO:0000035"
"61","ENSG00000004799","GO:0004672"
"62","ENSG00000004809","GO:0005275"
"63","ENSG00000004838","GO:0003341"
"64","ENSG00000004846","GO:0001654"
"65","ENSG00000004848","GO:0000122"
"66","ENSG00000004864","GO:0000514"
"67","ENSG00000004866","GO:0016021"
"68","ENSG00000004897","GO:0005515"
"69","ENSG00000004939","GO:0005452"
"70","ENSG00000004948","GO:0001540"
"71","ENSG00000004961","GO:0004408"
"72","ENSG00000004975","GO:0001843"
"73","ENSG00000005001","GO:0004252"
"74","ENSG00000005007","GO:0000184"
"75","ENSG00000005020","GO:0005515"
"76","ENSG00000005022","GO:0000295"
"77","ENSG00000005059","GO:0005654"
"78","ENSG00000005073","GO:0000978"
"79","ENSG00000005075","GO:0001055"
"80","ENSG00000005100","GO:0000182"
"81","ENSG00000005102","GO:0000785"
"82","ENSG00000005108","GO:0001525"
"83","ENSG00000005156","GO:0000724"
"84","ENSG00000005175","GO:0005515"
"85","ENSG00000005187","GO:0004321"
"86","ENSG00000005189","GO:0003723"
"87","ENSG00000005194","GO:0005515"
"88","ENSG00000005206","GO:0000139"
"89","ENSG00000005238","GO:0005515"
"90","ENSG00000005243","GO:0000139"
"91","ENSG00000005249","GO:0004862"
"92","ENSG00000005302","GO:0000123"
"93","ENSG00000005339","GO:0000122"
"94","ENSG00000005379","GO:0005515"
"95","ENSG00000005381","GO:0001878"
"96","ENSG00000005421","GO:0004063"
"97","ENSG00000005436","GO:0000245"
"98","ENSG00000005448","GO:0002091"
"99","ENSG00000005469","GO:0005777"
"100","ENSG00000005471","GO:0005515"
"101","ENSG00000005483","GO:0000785"
"102","ENSG00000005486","GO:0000139"
"103","ENSG00000005513","GO:0000122"
"104","ENSG00000005700","GO:0001933"
"105","ENSG00000005801","GO:0000978"
"106","ENSG00000005810","GO:0005085"
"107","ENSG00000005812","GO:0000086"
"108","ENSG00000005844","GO:0002291"
"109","ENSG00000005882","GO:0004672"
"110","ENSG00000005884","GO:0001764"
"111","ENSG00000005889","GO:0000785"
"112","ENSG00000005893","GO:0005515"
"113","ENSG00000005961","GO:0001525"
"114","ENSG00000005981","GO:0004842"
"115","ENSG00000006007","GO:0004622"
"116","ENSG00000006015","GO:0005515"
"117","ENSG00000006016","GO:0001657"
"118","ENSG00000006025","GO:0005515"
"119","ENSG00000006042","GO:0005515"
"120","ENSG00000006047","GO:0003676"
"121","ENSG00000006059","GO:0005198"
"122","ENSG00000006062","GO:0000165"
"123","ENSG00000006071","GO:0001678"
"124","ENSG00000006116","GO:0005245"
"125","ENSG00000006118","GO:0000139"
"126","ENSG00000006125","GO:0001822"
"127","ENSG00000006128","GO:0005576"
"128","ENSG00000006194","GO:0000122"
"129","ENSG00000006210","GO:0001774"
"130","ENSG00000006282","GO:0005576"
"131","ENSG00000006283","GO:0001518"
"132","ENSG00000006327","GO:0001525"
"133","ENSG00000006377","GO:0000785"
"134","ENSG00000006432","GO:0000165"
"135","ENSG00000006451","GO:0001843"
"136","ENSG00000006453","GO:0003779"
"137","ENSG00000006459","GO:0003712"
"138","ENSG00000006468","GO:0000785"
"139","ENSG00000006530","GO:0001727"
"140","ENSG00000006534","GO:0004028"
"141","ENSG00000006555",NA
"142","ENSG00000006576","GO:0005783"
"143","ENSG00000006606","GO:0001938"
"144","ENSG00000006607","GO:0005085"
"145","ENSG00000006611","GO:0000086"
"146","ENSG00000006625","GO:0001836"
"147","ENSG00000006634","GO:0000082"
"148","ENSG00000006638","GO:0001669"
"149","ENSG00000006652","GO:0005634"
"150","ENSG00000006659","GO:0005515"
"151","ENSG00000006695","GO:0000266"
"152","ENSG00000006704","GO:0000122"
"153","ENSG00000006712","GO:0000122"
"154","ENSG00000006715","GO:0005515"
"155","ENSG00000006740","GO:0005096"
"156","ENSG00000006744","GO:0003723"
"157","ENSG00000006747","GO:0001786"
"158","ENSG00000006756","GO:0004065"
"159","ENSG00000006757","GO:0004623"
"160","ENSG00000006788","GO:0000146"
"161","ENSG00000006831","GO:0005515"
"162","ENSG00000006837","GO:0004672"
"163","ENSG00000007001","GO:0004850"
"164","ENSG00000007038","GO:0004252"
"165","ENSG00000007047","GO:0000226"
"166","ENSG00000007062","GO:0001750"
"167","ENSG00000007080","GO:0003713"
"168","ENSG00000007129","GO:0016021"
"169","ENSG00000007168","GO:0000132"
"170","ENSG00000007171","GO:0001666"
"171","ENSG00000007174","GO:0003341"
"172","ENSG00000007202","GO:0005576"
"173","ENSG00000007216","GO:0005515"
"174","ENSG00000007237","GO:0005515"
"175","ENSG00000007255","GO:0005515"
"176","ENSG00000007264","GO:0004713"
"177","ENSG00000007306","GO:0005576"
"178","ENSG00000007312","GO:0002250"
"179","ENSG00000007314","GO:0001518"
"180","ENSG00000007341","GO:0016021"
"181","ENSG00000007350","GO:0004802"
"182","ENSG00000007372","GO:0000122"
"183","ENSG00000007376","GO:0000455"
"184","ENSG00000007384","GO:0000139"
"185","ENSG00000007392","GO:0003729"
"186","ENSG00000007402","GO:0005245"
"187","ENSG00000007516","GO:0000149"
"188","ENSG00000007520","GO:0000154"
"189","ENSG00000007541","GO:0000506"
"190","ENSG00000007545","GO:0003677"
"191","ENSG00000007866","GO:0000785"
"192","ENSG00000007908","GO:0002092"
"193","ENSG00000007923","GO:0001401"
"194","ENSG00000007933","GO:0004497"
"195","ENSG00000007944","GO:0004842"
"196","ENSG00000007952","GO:0001525"
"197","ENSG00000007968","GO:0000785"
"198","ENSG00000008018","GO:0000502"
"199","ENSG00000008056","GO:0000795"
"200","ENSG00000008083","GO:0000122"
"201","ENSG00000008086","GO:0001764"
"202","ENSG00000008118","GO:0000139"
"203","ENSG00000008128","GO:0000278"
"204","ENSG00000008130","GO:0003951"
